SKU,Strain,Tier,Type,THC,Price_3G,Price_5G,Price_14G,Price_28G,ImageURL,PPromo
481,PINK PANTIES,PREMIUM,IH,31%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/99235-481-PINK-PANTIES.webp,
482,MENDO BREATHE,PREMIUM,IH,32%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/99238-482-MENDO-BREATHE.webp,
484,PINK CHAPO,PREMIUM,IH,32%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/99246-484-PINK-CHAPO.webp,
492,PLATINUM TUNA,PREMIUM,IH,32%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/492-PLATINUM-TUNA.webp,
493,O PINK,PREMIUM,IH,33%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/493-O-PINK.webp,
494,PINK ATOMIC BOMB,PREMIUM,IH,33%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/494-PINK-ATOMIC-BOMB.webp,
495,KING LOUIS XIII,PREMIUM,IH,33%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/495-KING-LOUIS-XIII.webp,
500,PINK GODFATHER,EXOTIC,IH,36%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/500-Pink-Godfather-500.jpg,
504,PINK BELLAGIO,EXOTIC,IH,36%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/99205-504PINK-BELLAGIO.webp,
505,PINK LIZARD,EXOTIC,IH,36%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/99207-505PINK-LIZARD.webp,
507,PINK DEATHSTAR,EXOTIC,IH,36%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/99216-507PINK-DEATHSTAR.webp,
510,JACK HERER,EXOTIC,IH,36%,$40,60,$140,,https://afterdarkcannabis.com/wp-content/uploads/2025/05/510-Jack-Herer.jpeg,
511,SUNBURST HAZE (SH),EXOTIC,SH SALE,36%,40|30,60|50,140|95,,https://athena-cannabis-images.vercel.app/products/511-LEMON-HAZE.jpeg,
513,PINK TOMFORD,EXOTIC,IH,38%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/99240-513-PINK-TOMFORD.webp,
514,PINK PERMANENT MARKER,EXOTIC,IH,35%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/544-PINK-PERMANENT-MARKER.webp,
515,PURE MICHIGAN,EXOTIC,IH,35%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/545-PURE-MICHIGAN.webp,
516,BUBBA STAR,EXOTIC,IH,35%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/516-BUBBA-STAR.webp,
520,MOTOR BREATHE,EXOTIC,IH SALE,36%,40|30,60|45,$95,,https://athena-cannabis-images.vercel.app/products/520-Motor-Breath2e.webp,
522,HAN SOLO,EXOTIC,IH,39%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/522-Han-Solo.jpeg,
523,DEAD HEAD,EXOTIC,IH,38%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/523-DEAD-HEAD.jpg,
524,PINK ROCKSTAR,EXOTIC,IH,38%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/524-PINK-ROCKSTAR.jpg,
526,PINK BAZOOKA,EXOTIC,IH,36%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/526-PINK-BAZOOKA.jpg,
527,PINK ASTRO,EXOTIC,IH,36%,$40,60,$140,,https://bloudsdispensary.ca/wp-content/uploads/2025/07/527-Pink-Astro.jpg,
528,PINK SPACE QUEEN,EXOTIC,IH,36%,$40,60,$140,,https://bloudsdispensary.ca/wp-content/uploads/2025/07/528-Pink-Space-Queen.jpg,
529,JEALOUSY,EXOTIC,SH HOT,37%,$40,60,140,,https://bloudsdispensary.ca/wp-content/uploads/2025/07/529-JEALOUSY.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
530,PERMANENT MARKER,EXOTIC,IH,36%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/530-PERMANENT-MARKER.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
531,MIKE TYSON OG,EXOTIC,IH,36%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/531-MIKE-TYSON-OG-99141.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
532,BLUEFIN TUNA,EXOTIC,IH,36%,$40,60,,,https://athena-cannabis-images.vercel.app/products/532-BLUEFIN-TUNA-99137.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
533,PINK ALIEN,EXOTIC,IH,36%,$40,,,,https://athena-cannabis-images.vercel.app/products/533-Pink-Alien.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
534,RED EYE PINK,EXOTIC,IH,38%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/534-RED-EYE-PINK.webp,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
535,JACKHAZE,EXOTIC,SH,38%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/535-JACKHAZE.webp,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
536,PINK HELLFIRE,EXOTIC,IH,38%,$40,60,$140,,https://athena-cannabis-images.vercel.app/products/536-PINK-HELLFIRE.webp,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
537,GODFATHER OG,EXOTIC,IH,38%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/99139537-GODFATHER-OG.webp,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
538,PINK TUNA,EXOTIC,IH,38%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/538-PINK-TUNA-99137N.jpg,
546,24K GOLD,EXOTIC,IH,35%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/546-24K-Gold.webp,
550,PINK STARKILLER,EXOTIC,IH,35%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/550-PINK-STARKILLER.webp,
561,RED CONGOLESE,EXOTIC,SH SALE,38%,40|30,60|45,140|95,,https://athena-cannabis-images.vercel.app/products/561-RED-CONGOLESE.webp,
562,DONNIE BURGER,EXOTIC,IH,38%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/99234-562-DONNIE-BURGER.webp,
570,MOCHI (stv),EXOTIC,IH,36%%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/570-MOCHI.webp,
593,MIKE TYSON KO *SUPER EXOTICS*,EXOTIC,IH,39%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/593-MIKE-TYSON-KO-99138.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
594,PINEAPPLE EXPRESS,EXOTIC,SH,38%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/594-PINEAPPLE-EXPRESS2.webp,
595,PURPLE SPACE QUEEN,EXOTIC,IH,38%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/99224-595-PURPLE-SPACE-QUEEN.webp,
596,PINK GOOEY FROST ,EXOTIC,IH,39%,40|30,60|45,140|95,,https://athena-cannabis-images.vercel.app/products/596-PINK-GOEY-FROST2.webp,
9103,LAVENDER KUSH   LTD BAG,Budget,IH SALE,25%,$7,,,,https://afterdarkcannabis.com/wp-content/uploads/2025/06/172-Lavender-Kush.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
9200,BLUE DREAM ( SATIVA) LTD BAG,AA,SH SALE,27%,,20|15,,,https://athena-cannabis-images.vercel.app/products/244-BLUE-DREAM-SATIVA.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
9202,CRITICAL KUSH LTD BAG,AA,SH SALE,28%,,20|15,,,https://afterdarkcannabis.com/wp-content/uploads/2025/06/236-CRITICAL-KUSH.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
9203,GRANDDADDY PURPLE LTD BAG,AA,IH SALE,27%,,20|15,,,https://athena-cannabis-images.vercel.app/products/242-GRANDDADDY-PURPLE.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
