SKU,Type,Category,Name,THC,MG,Price_EACH,ImageURL,PPromoimageurl,PPromo,,,,,
810,i/h/s,VAPE DISPOSABLE,DRIZZLE SWITCH 3in1 / 1G,98%+,,$40,https://afterdarkcannabis.com/wp-content/uploads/2025/10/810-DRIZZLE-SWITCHs-3in1.png,,,,,,,
813,i/h/s,VAPE DISPOSABLE,DRIZZLE SWITCH 3in1 / 2G,98%+,,$50,https://athena-cannabis-images.vercel.app/products/DRIZZLESWITCH2GASSORTEDFLAVORS600x600.webp,,https://kennedyloudcannabis.com/wp-content/uploads/2025/11/a-3d-render-of-the-word-new-in-red-large_zwuebcRsTzKUTbHP-MI28Q_wDQKCDjORV-tt1xnw3HunA.png,,,,,
"961, 962, 963",,EDIBLES,DUMMY BEARS 200MG - 2000MG - 5000MG,,,20/50/100,https://athena-cannabis-images.vercel.app/products/961-962-963-DUMMY-BEARS.webp,,,,,,,
1065,,VAPE PENS,ELF 23000 – 5% | 23K PUFFS,,,$35,https://afterdarkcannabis.com/wp-content/uploads/2025/07/1065-Elfbar.jpg,,,,,,,
"1,067",,VAPE PENS,Elf Bar 10K ,,,$35,,,,,,,,
"1,064",,VAPE PENS,ELF BAR ICE KING – 5% | 30K PUFFS | MANY FLAVORS,,,$30,https://athena-cannabis-images.vercel.app/products/ELFBARICEKING500x500HQ.webp,,,,,,,
1068,,VAPE PENS,Elf Bar Moonlight 70K ,,,$40,https://athena-cannabis-images.vercel.app/products/1067-Elf-Bar-10K.webp,,,,,,,
"1,066",,VAPE PENS,Elf Bar Prime ,,,$20,https://athena-cannabis-images.vercel.app/products/1066-Elf-Bar-Prime.webp,,,,,,,
1092,,VAPE PENS,ENVI DRIP’N – 5% | 28K PUFFS,,,$40,https://athena-cannabis-images.vercel.app/products/1092-Envi-Dripn-28K.webp,,,,,,,
1093,,VAPE PENS,Flavour Beast e-liquid salt,,,$35,https://athena-cannabis-images.vercel.app/products/1093-Flavour-Beast-e-liquid-salt.webp,,,,,,,
