ca_path,ca_status,ca_kind,ca_title,gsc_clicks_3mo,gsc_impr_3mo,com_target,match,score,note
/product/jack-herer/,200,product,Jack Herer | Exotic Cannabis Toronto | St. Clair,1,9,https://stclaircannabis.com/exotic-weed,category,,no same product on .com; tier from .ca title
/product/king-louis-xiii/,200,product,King Louis Xiii | Premium Cannabis Toronto | St. Clair,1,9,https://stclaircannabis.com/flower/king-louis-xiii,exact,,same product on .com (king-louis-xiii)
/product/skunk-kush/,200,product,Skunk Kush | Budget Cannabis Toronto | St. Clair,1,9,https://stclaircannabis.com/budget-weed,category,,no same product on .com; tier from .ca title
/product/afghan-hash/,200,product,Afghan Hash | Concentrates Cannabis Toronto | St. Clair,1,8,https://stclaircannabis.com/item/new-afghan-hash,close,,"same strain/product, variant/size name on .com (new-afghan-hash); review"
/product/birthday-cake/,200,product,Birthday Cake | Premium Cannabis Toronto | St. Clair,1,7,https://stclaircannabis.com/premium-weed,category,,no same product on .com; tier from .ca title
/product/purple-space-queen/,200,product,Purple Space Queen | Exotic Cannabis Toronto | St. Clair,1,7,https://stclaircannabis.com/exotic-weed,category,,no same product on .com; tier from .ca title
/product/10-x-premium-mix-cigarettes/,200,product,10 x Premium Mix Cigarettes | Weed Shop Toronto | St. Clair,1,6,https://stclaircannabis.com/premium-weed,category,,no same product on .com; tier from .ca title
/product/blackberry-kush-ltd-bag/,200,product,Blackberry Kush LTD Bag | Weed Shop Toronto | St. Clair,1,6,https://stclaircannabis.com,weak,,"flower with no tier on .ca (LTD bag, $0) -> homepage flower menu"
/product/laughing-buddha-1g-sat-pre-roll/,200,product,Laughing Buddha 1g Sat Pre-Roll | St. Clair Cannabis Toronto,1,6,https://stclaircannabis.com/item/laughing-buddha-1g-sat-pre-roll,exact,,same product on .com (laughing-buddha-1g-sat-pre-roll)
/product/pink-godfather-og-1g-ind-pre-roll/,200,product,Pink Godfather Og 1g Ind Pre-Roll | St. Clair Cannabis,1,6,https://stclaircannabis.com/item/pink-godfather-og-1g-ind-pre-roll,exact,,same product on .com (pink-godfather-og-1g-ind-pre-roll)
/product/pink-yoda/,200,product,Pink Yoda | Premium Cannabis Toronto | St. Clair,1,6,https://stclaircannabis.com/premium-weed,category,,no same product on .com; tier from .ca title
/product/thc-syrup-500mg/,200,product,THC Syrup 500mg | Cannabis Cannabis Toronto | St. Clair,1,6,https://stclaircannabis.com/items/edibles,category,,no same product on .com; category from slug keywords
/product/tripnotik-choco-5000mg/,200,product,Tripnotik Choco 5000mg | Weed Shop Toronto | St. Clair,1,6,https://stclaircannabis.com/item/tripnotik-choco-5000mg,exact,,same product on .com (tripnotik-choco-5000mg)
/product/black-tuna/,200,product,Black Tuna | AAA+ Cannabis Toronto | St. Clair,1,5,https://stclaircannabis.com/aaa-weed,category,,no same product on .com; tier from .ca title
/product/pink-tuna/,200,product,Pink Tuna | Exotic Cannabis Toronto | St. Clair,1,5,https://stclaircannabis.com/flower/pink-tuna,exact,,same product on .com (pink-tuna)
/product/pink-wagyu-star-ltd-bag/,200,product,Pink Wagyu Star LTD Bag | Weed Shop Toronto | St. Clair,1,5,https://stclaircannabis.com,weak,,"flower with no tier on .ca (LTD bag, $0) -> homepage flower menu"
/product/critical-kush-ltd-bag/,200,product,Critical Kush LTD Bag | AA Cannabis Toronto | St. Clair,1,4,https://stclaircannabis.com/aa-weed,category,,no same product on .com; tier from .ca title
/product/galaxy-gummies-6000mg/,200,product,Galaxy Gummies 6000mg | Edibles Cannabis Toronto | St. Clair,1,4,https://stclaircannabis.com/item/galaxy-gummies-6000mg,exact,,same product on .com (galaxy-gummies-6000mg)
/product/london-poundcake/,200,product,London Poundcake | Budget Cannabis Toronto | St. Clair,1,4,https://stclaircannabis.com/budget-weed,category,,no same product on .com; tier from .ca title
/product/pink-god/,200,product,Pink God | Premium Cannabis Toronto | St. Clair,1,4,https://stclaircannabis.com/premium-weed,category,,no same product on .com; tier from .ca title
/product/pink-jet-fuel/,200,product,Pink Jet Fuel | AA Cannabis Toronto | St. Clair,1,4,https://stclaircannabis.com/aa-weed,category,,no same product on .com; tier from .ca title
/product/grabba-redrose-redherring/,200,product,GRABBA RedRose / RedHerring | Weed Shop Toronto | St. Clair,1,3,https://stclaircannabis.com/item/grabba-redrose-redherring,exact,,same product on .com (grabba-redrose-redherring)
/product/dank-choco-bar-1500mg/,200,product,Dank Choco Bar 1500mg | Weed Shop Toronto | St. Clair,1,2,https://stclaircannabis.com/item/dank-choco-bar-1500mg,exact,,same product on .com (dank-choco-bar-1500mg)
/product/drizzle-delta-d9/,200,product,Drizzle Delta D9 | Cannabis Cannabis Toronto | St. Clair,1,2,https://stclaircannabis.com/items/vapes,category,,no same product on .com; category from slug keywords
/product/drizzle-diamond-pre-rolls-1g/,200,product,Drizzle Diamond Pre-Rolls 1g | Weed Shop Toronto | St. Clair,1,2,https://stclaircannabis.com/items/prerolls,category,,no same product on .com; category from slug keywords
/product/kosher-kush/,200,product,Kosher Kush | AAA+ Cannabis Toronto | St. Clair,1,2,https://stclaircannabis.com/aaa-weed,category,,no same product on .com; tier from .ca title
/product/amneisa-haze/,200,product,Amneisa Haze | Premium Cannabis Toronto | St. Clair,1,1,https://stclaircannabis.com/premium-weed,category,,no same product on .com; tier from .ca title
/product/cosmic-sativa/,200,product,Cosmic Sativa | AA Cannabis Toronto | St. Clair,1,1,https://stclaircannabis.com/aa-weed,category,,no same product on .com; tier from .ca title
/product/lavender-kush/,200,product,Lavender Kush | Budget Cannabis Toronto | St. Clair,1,1,https://stclaircannabis.com/flower/lavender-kush,exact,,same product on .com (lavender-kush)
